tms_code,catalog_code,notes
FTDDM-DME,FTDM-DME,SCTP full-time variant
NFTDDM-DME,FTDM-DME,Non-SCTP modular variant
FTDDM-DAD,FTDM-DA,SCTP full-time variant
NFTDDM-DAD,FTDM-DA,Non-SCTP modular variant
FTDDM-SMM,FTDM-SMM,SCTP full-time variant
NFTDDM-SMM,FTDM-SMM,Non-SCTP modular variant
FTDDM-SEO,FTDM-SEO,SCTP full-time variant
NFTDDM-SEO,FTDM-SEO,Non-SCTP modular variant
FTDDM-DMA,FTDM-DMA,SCTP full-time variant
NFTDDM-DMA,FTDM-DMA,Non-SCTP modular variant
FTDDM-WWC,FTDM-WWC,SCTP full-time variant
NFTDDM-WWC,FTDM-WWC,Non-SCTP modular variant
FTDDM-CCW,FTDM-CCW,SCTP full-time variant
NFTDDM-CCW,FTDM-CCW,Non-SCTP modular variant
FTDDM-DCC,FTDM-DCC,SCTP full-time variant
NFTDDM-DCC,FTDM-DCC,Non-SCTP modular variant
FTDDM-FIM,FTDM-FB,SCTP full-time variant
NFTDDM-FIM,FTDM-FB,Non-SCTP modular variant
FTDDM-GAD,FTDM-GA,SCTP full-time variant
NFTDDM-GAD,FTDM-GA,Non-SCTP modular variant
FTDDM-WLP,FTDM-WCO,SCTP full-time variant
NFTDDM-WLP,FTDM-WCO,Non-SCTP modular variant
FTDDM-VMA,FTDM-VM,SCTP full-time variant
NFTDDM-VMA,FTDM-VM,Non-SCTP modular variant
FTDDM-GAI,FTDM-GAI,SCTP full-time variant
NFTDDM-GAI,FTDM-GAI,Non-SCTP modular variant
FTDDM-TTM,FTDM-TTM,SCTP full-time variant
NFTDDM-TTM,FTDM-TTM,Non-SCTP modular variant
GENAI-DSM,DGAI-SM,SCTP full-time variant
NGENAI-DSM,DGAI-SM,Non-SCTP modular variant
GENAI-HRT,DGAI-HR,SCTP full-time variant
NGENAI-HRT,DGAI-HR,Non-SCTP modular variant
GENAI-PFI,DGAI-FIN,SCTP full-time variant
NGENAI-PFI,DGAI-FIN,Non-SCTP modular variant
GENAI-SIN,DGAI-INV,SCTP full-time variant
NGENAI-SIN,DGAI-INV,Non-SCTP modular variant
GENAI-OPE,DGAI-OPS,SCTP full-time variant
NGENAI-OPE,DGAI-OPS,Non-SCTP modular variant
GENAI-DBI,DGAI-BI,SCTP full-time variant
NGENAI-DBI,DGAI-BI,Non-SCTP modular variant
GENAI-CAP,DGAI-CAP,SCTP full-time variant
NGENAI-CAP,DGAI-CAP,Non-SCTP modular variant
NFTIIO-IIT,FTIIO-IIT,Non-SCTP modular variant
NFTIIO-CHP,FTIIO-CHP,Non-SCTP modular variant
NFTIIO-OSS,FTIIO-OSS,Non-SCTP modular variant
NFTIIO-NFT,FTIIO-NFT,Non-SCTP modular variant
FTIIO-CES,FTIIO-CE,SCTP full-time variant
NFTIIO-CES,FTIIO-CE,Non-SCTP modular variant
FTIIO-ITP,FTIIO-ITPS,SCTP full-time variant
NFTIIO-ITP,FTIIO-ITPS,Non-SCTP modular variant
FTIIO-ISM,FTIIO-SMHD,SCTP full-time variant
NFTIIO-ISM,FTIIO-SMHD,Non-SCTP modular variant
NFTIIO-HST,FTIIO-HST,Non-SCTP modular variant
FTIIO-CCO,FTIIO-CC,SCTP full-time variant
NFTIIO-CCO,FTIIO-CC,Non-SCTP modular variant
NFTIIO-ANA,FTIIO-ANA,Non-SCTP modular variant
NFTIIO-SSA,FTIIO-SSA,Non-SCTP modular variant
NFTIIO-CEH,FTIIO-CEH,Non-SCTP modular variant
NFTIIO-ETT,FTIIO-ETT,Non-SCTP modular variant
NFTIIO-CAP,FTIIO-CAP,Non-SCTP modular variant
