course_code,venue,confirmed_total,cancelled_total,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,strong_months,weak_months
ASKMEN,IP,118,3,13/0,11/0,12/1,16/1,16/0,12/1,6/0,5/0,6/0,10/0,6/0,5/0,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,
DDM-WWC,IP,69,5,7/0,7/0,6/2,6/1,9/0,4/0,4/1,5/0,5/0,3/0,8/1,5/0,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,
ASKCAP,IP,66,1,7/0,7/0,6/0,10/1,10/0,4/0,4/0,5/0,1/0,6/0,3/0,3/0,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Oct|Nov|Dec,
DDM-DMC,IP,63,9,8/0,5/2,8/2,8/1,9/1,3/1,5/0,1/2,5/0,3/0,3/0,5/0,Jan|Mar|Apr|May|Jun|Jul|Sep|Oct|Nov|Dec,Aug
ACDM-DME,IP,59,14,5/3,5/3,7/2,7/3,10/1,4/2,4/0,4/0,3/0,3/0,3/0,4/0,Mar|May|Jul|Aug|Sep|Oct|Nov|Dec,
DDM-DCC,IP,58,4,6/0,7/0,6/0,6/1,7/0,3/0,3/1,5/0,3/1,4/0,4/0,4/1,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,
DDM-CCW,IP,57,4,5/0,6/0,6/0,7/1,5/1,3/0,3/1,4/0,6/0,3/0,4/0,5/1,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,
DDM-GA,IP,54,5,5/0,5/0,6/0,7/1,6/0,3/0,3/0,2/2,5/1,4/0,4/0,4/1,Jan|Feb|Mar|Apr|May|Jun|Jul|Sep|Oct|Nov|Dec,
DDM-FIM,IP,54,5,4/0,5/1,8/0,6/1,5/0,4/0,2/0,3/1,4/1,4/1,4/0,5/0,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,
ACDM-SMM,IP,54,5,6/1,6/1,5/1,7/1,8/0,4/0,3/1,3/0,3/0,3/0,3/0,3/0,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,
