course_code,venue,scheduled_18mo,confirmed,cancelled,confirm_rate,confirmed_per_month,median_gap_days,min_gap_days
ASKMEN,IP,121,118,3,0.98,6.56,4,1
DDM-WWC,IP,74,69,5,0.93,3.83,9,2
ASKCAP,IP,67,66,1,0.99,3.67,6,1
DDM-DMC,IP,72,63,9,0.88,3.5,8,1
ACDM-DME,IP,73,59,14,0.81,3.28,9,1
DDM-DCC,IP,62,58,4,0.94,3.22,9,2
DDM-CCW,IP,61,57,4,0.93,3.17,9,2
DDM-GA,IP,59,54,5,0.92,3.0,9,2
DDM-FIM,IP,59,54,5,0.92,3.0,9,2
ACDM-SMM,IP,59,54,5,0.92,3.0,9,2
DDM-WLCO,IP,59,53,6,0.9,2.94,9,2
IIOC-CHP,IP,61,53,8,0.87,2.94,12,2
ACDM-SEO,IP,58,53,5,0.91,2.94,9,2
SCTP-DDM,IP,54,52,2,0.96,2.89,9,2
ACDM-DMA,IP,57,52,5,0.91,2.89,9,1
ACDM-DA,IP,59,51,8,0.86,2.83,10,2
SCTP-ACDM,IP,57,50,7,0.88,2.78,9,1
IIOC-CHP,JTC,61,43,18,0.7,2.39,12,2
IIOC-CE,IP,58,43,15,0.74,2.39,14,1
IIOC-NFT,IP,55,38,17,0.69,2.11,14,3
ASQMEI,IP,44,38,6,0.86,2.11,9,2
IIOC-OSS,IP,53,37,16,0.7,2.06,14,2
NS-DDM,IP,39,37,2,0.95,2.06,9,2
IIOC-ITPS,IP,54,36,18,0.67,2.0,19,1
IIOC-CE,JTC,59,35,24,0.59,1.94,11,1
IIOC-ITPS,JTC,56,33,23,0.59,1.83,12,2
IIOC-IIT,IP,53,33,20,0.62,1.83,15,3
IIOC-SMHD,JTC,57,31,26,0.54,1.72,14,2
IIOC-NFT,JTC,54,31,23,0.57,1.72,16,2
IIOC-IIT,JTC,59,30,29,0.51,1.67,12,1
IIOC-OSS,JTC,55,30,25,0.55,1.67,16,2
IIOC-SMHD,IP,50,30,20,0.6,1.67,16,2
SCTP-CIIO,IP,42,29,13,0.69,1.61,15,3
ASQMEE,IP,33,28,5,0.85,1.56,14,2
ASQMEA,IP,42,28,14,0.67,1.56,12,1
SCTP-CIIO,JTC,41,23,18,0.56,1.28,13,1
ASKGAI,IP,33,23,10,0.7,1.28,21,1
ASKIIOCAP,JTC,23,23,0,1.0,1.28,14,1
ASQMEI,INHOUSE,25,23,2,0.92,1.28,23,2
ACDM-DMA,HBL,32,21,11,0.66,1.17,28,3
ASQMEA,INHOUSE,22,21,1,0.95,1.17,19,2
ACDM-SMM,HBL,31,20,11,0.65,1.11,28,2
ACDM-SEO,HBL,31,20,11,0.65,1.11,28,2
ACDM-DME,HBL,27,19,8,0.7,1.06,28,2
ASQMEI,JTC,23,19,4,0.83,1.06,28,7
ACDM-DA,HBL,30,18,12,0.6,1.0,28,2
SCTP-ACDM,HBL,30,17,13,0.57,0.94,30,2
ACDM-DME,INHOUSE,17,16,1,0.94,0.89,6,1
SCTP-ACDM,INHOUSE,17,15,2,0.88,0.83,8,1
ACDM-DA,INHOUSE,16,15,1,0.94,0.83,9,1
ACDM-SMM,INHOUSE,16,15,1,0.94,0.83,10,1
ACDM-SEO,INHOUSE,16,15,1,0.94,0.83,10,1
ACDM-DMA,INHOUSE,17,15,2,0.88,0.83,12,2
ASQMEE,INHOUSE,19,15,4,0.79,0.83,21,5
ACDM-DME,JTC,22,14,8,0.64,0.78,42,3
ASKGAI,JTC,27,14,13,0.52,0.78,31,5
ASKIIOCAP,IP,13,13,0,1.0,0.72,28,2
ASQMEE,JTC,16,12,4,0.75,0.67,56,10
ASKCAW,IP,15,12,3,0.8,0.67,33,27
ACDM-SEO,JTC,17,12,5,0.71,0.67,31,9
ASKMEN,INHOUSE,12,12,0,1.0,0.67,7,4
ASKINH-1DAY,IP,16,12,4,0.75,0.67,24,2
ASKVEG,IP,12,12,0,1.0,0.67,21,2
ACDM-SMM,JTC,17,11,6,0.65,0.61,41,10
ASKINH-1/2DAY,IP,11,11,0,1.0,0.61,14,6
ASKSPF-INH1,OTHER,11,11,0,1.0,0.61,7,1
SDDM-ADMS,IP,25,10,15,0.4,0.56,49,16
ACIIO-HST,IP,20,10,10,0.5,0.56,65,9
SCTP-ACDM,JTC,15,10,5,0.67,0.56,44,4
ACIIO-ANA,IP,20,10,10,0.5,0.56,58,10
ACDM-DA,JTC,17,10,7,0.59,0.56,42,9
ACIIO-RP,JTC,23,10,13,0.43,0.56,22,1
ACIIO-CC,IP,20,10,10,0.5,0.56,56,7
ACIIO-RP,IP,16,10,6,0.62,0.56,51,16
ASKVEG,JTC,11,10,1,0.91,0.56,23,2
SDDM-ASEO,IP,25,9,16,0.36,0.5,39,9
ACIIO-CC,JTC,21,9,12,0.43,0.5,42,1
SDDM-ADMA,IP,25,9,16,0.36,0.5,40,9
ASKMEI,INHOUSE,9,9,0,1.0,0.5,54,17
ACIIO-CEH,JTC,21,9,12,0.43,0.5,24,10
DDM-DMSP,IP,26,9,17,0.35,0.5,43,9
ASKPQ8,HOTEL,15,9,6,0.6,0.5,56,28
ASKGAI,INHOUSE,15,9,6,0.6,0.5,33,2
ACDM-DMA,JTC,16,9,7,0.56,0.5,53,14
ACIIO-CEH,IP,19,9,10,0.47,0.5,56,24
ACIIO-ETT,IP,15,9,6,0.6,0.5,56,16
ASKGAI,HBL,13,9,4,0.69,0.5,35,4
SCTP-SDDM,IP,25,8,17,0.32,0.44,35,16
SCTP-ACIIO,IP,15,8,7,0.53,0.44,65,9
SDDM-ADA,IP,25,8,17,0.32,0.44,35,16
ASKERT,HOTEL,10,8,2,0.8,0.44,63,49
SDDM-EM,IP,25,8,17,0.32,0.44,39,9
ASQMEA,JTC,12,8,4,0.67,0.44,60,24
SDDM-ASMM,IP,25,8,17,0.32,0.44,35,16
SDDM-ADCM,IP,25,8,17,0.32,0.44,33,17
ACIIO-ETT,JTC,20,8,12,0.4,0.44,39,2
ASK3KL,HOTEL,8,8,0,1.0,0.44,60,53
ASKTTM,IP,12,8,4,0.67,0.44,44,19
ASKINH-1/2DAY,JTC,8,8,0,1.0,0.44,7,7
SCTP-ACIIO,JTC,15,7,8,0.47,0.39,42,12
ACIIO-HST,JTC,17,7,10,0.41,0.39,42,12
ASKMEB,INHOUSE,9,7,2,0.78,0.39,49,25
ACIIO-SSA,JTC,19,7,12,0.37,0.39,34,11
ACIIO-ANA,JTC,18,7,11,0.39,0.39,35,18
ACIIO-SSA,IP,19,7,12,0.37,0.39,58,26
ASQDVS,IP,7,7,0,1.0,0.39,91,35
ASKCDM,IP,10,7,3,0.7,0.39,52,23
ASKMEI,IP,8,6,2,0.75,0.33,82,12
ASKMWB,INHOUSE,11,6,5,0.55,0.33,56,12
ASQDVT,IP,7,6,1,0.86,0.33,91,7
ASQDVS,JTC,6,6,0,1.0,0.33,91,56
ASKCHAT,HOTEL,9,6,3,0.67,0.33,66,50
ASKMPB,INHOUSE,10,6,4,0.6,0.33,68,35
ASKCDM,JTC,10,6,4,0.6,0.33,79,34
ASKTTM,JTC,11,6,5,0.55,0.33,72,19
ASKVEG,INHOUSE,10,6,4,0.6,0.33,10,2
IIOC-SMHD,INHOUSE,7,5,2,0.71,0.28,28,2
DDM-GA,HBL,12,5,7,0.42,0.28,42,14
SCTP-DDM,HBL,10,5,5,0.5,0.28,29,22
DDM-WWC,HBL,11,5,6,0.45,0.28,29,22
ASKMEA,IP,7,5,2,0.71,0.28,112,77
ASKMAB,INHOUSE,7,5,2,0.71,0.28,119,56
ASQMEA,OTHER,5,5,0,1.0,0.28,42,14
DDM-FIM,HBL,11,5,6,0.45,0.28,48,9
DDM-DCC,HBL,11,5,6,0.45,0.28,34,22
DDM-WLCO,HBL,11,5,6,0.45,0.28,48,6
DDM-CCW,HBL,10,5,5,0.5,0.28,39,15
ASQDVS,INHOUSE,5,5,0,1.0,0.28,91,68
ASKMOB,JTC,6,5,1,0.83,0.28,67,60
ASKHWB,HOTEL,7,5,2,0.71,0.28,77,42
ASQDVT,JTC,5,5,0,1.0,0.28,91,71
ASQDVT,INHOUSE,5,5,0,1.0,0.28,105,24
ASKMPB,JTC,8,4,4,0.5,0.22,133,56
DIIO-ADI,JTC,8,4,4,0.5,0.22,193,33
ASKSTL,HOTEL,9,4,5,0.44,0.22,75,23
ASKGV7,INHOUSE,7,4,3,0.57,0.22,125,118
ASKBB8,HOTEL,9,4,5,0.44,0.22,60,52
ASKMGC,HOTEL,6,4,2,0.67,0.22,98,80
IIOC-ITPS,INHOUSE,6,4,2,0.67,0.22,26,2
ASKTTM,INHOUSE,9,4,5,0.44,0.22,91,25
ASKDR8,HOTEL,14,4,10,0.29,0.22,55,52
ASKMEI,JTC,5,4,1,0.8,0.22,186,87
ASKDCC,HOTEL,5,4,1,0.8,0.22,93,89
ASKMWB,JTC,7,4,3,0.57,0.22,65,57
ASKRWP,HOTEL,6,4,2,0.67,0.22,101,77
ASKDFF,OTHER,6,4,2,0.67,0.22,84,84
ASKBKS,HOTEL,6,4,2,0.67,0.22,99,84
ASKHHL,HOTEL,7,4,3,0.57,0.22,77,35
ASKWLB,HOTEL,5,4,1,0.8,0.22,101,81
ASKBWE,IP,7,4,3,0.57,0.22,33,33
