code,name,programme_code,duration_days,fee_with_gst,is_capstone,recently_added,notes
ACDM-DME,Digital Marketing Essentials,ACDM,1,327.0,False,False,
ACDM-DA,Digital Advertising,ACDM,2,981.0,False,False,
ACDM-SMM,Social Media Marketing,ACDM,2,981.0,False,False,
ACDM-SEO,Search Engine Optimisation,ACDM,2,981.0,False,False,
ACDM-DMA,Digital Marketing Analytics (Google Analytics),ACDM,2,981.0,False,False,
DDM-WWC,WordPress Website Creation,DDM,2,1076.92,False,False,
DDM-DCC,Digital Content Creation,DDM,2,1076.92,False,False,
DDM-CCW,Copywriting & Content Writing,DDM,2,1076.92,False,False,
DDM-GA,Google Ads,DDM,2,1076.92,False,False,
DDM-FB,Facebook & Instagram Marketing,DDM,2,1076.92,False,False,
DDM-WCO,Website & Landing Page Conversion Optimisation,DDM,2,1076.92,False,False,
DDM-CAP,Capstone Project (Digital Marketing Campaign),DDM,1,2180.0,True,False,
SDDM-ADMS,Advanced Digital Marketing Strategy,SDDM,2,1108.53,False,False,
SDDM-ADA,Advanced Digital Advertising,SDDM,2,1108.53,False,False,
SDDM-ASMM,Advanced Social Media Management,SDDM,2,1108.53,False,False,
SDDM-ADCM,Advanced Digital Content Marketing,SDDM,2,1108.53,False,False,
SDDM-ASEO,Advanced Search Engine Optimisation,SDDM,2,1108.53,False,False,
SDDM-ADMA,Advanced Digital Marketing Analytics (Google Analytics),SDDM,2,1108.53,False,False,
SDDM-EM,Email Marketing,SDDM,2,1105.26,False,False,
SDDM-CAP,Capstone Project (Digital Marketing Strategic Plan),SDDM,1,2180.0,True,False,
CIIO-M1,M1 Introduction to Information Technology (IT),CIIO,1,327.0,False,False,
CIIO-M2,M2 Understanding Computer Hardware & Peripherals,CIIO,2,599.5,False,False,
CIIO-M3,M3 Operating Systems and Desktop Support,CIIO,2,599.5,False,False,
CIIO-M4,M4 Network Fundamentals and Troubleshooting,CIIO,3,981.0,False,False,
CIIO-M5,M5 Cybersecurity Essentials,CIIO,3,981.0,False,False,
CIIO-M6,M6 IT Troubleshooting and Problem Solving,CIIO,1,327.0,False,False,
CIIO-M7,M7 IT Service Management and Help Desk Operations,CIIO,2,599.5,False,False,
ACIIO-AM1,AM1 Advanced Hardware and Software Troubleshooting,ACIIO,4,1308.0,False,False,
ACIIO-AM2,AM2 Advanced Network Administration,ACIIO,6,1853.0,False,False,
ACIIO-AM3,AM3 Systems and Server Administration,ACIIO,6,1853.0,False,False,
ACIIO-AM4,AM4 Cloud Computing,ACIIO,5,1635.0,False,False,
ACIIO-AM5,AM5 Cybersecurity and Ethical Hacking,ACIIO,4,1308.0,False,False,
ACIIO-AM6,AM6 Emerging Technologies and Trends,ACIIO,2,763.0,False,False,
ACIIO-AM7,AM7 Capstone Project: Real-world IT Project,ACIIO,2.5,2180.0,True,False,
DIIO-DM1,DM1 IT Infrastructure and Operations,DIIO,4,1744.0,False,False,
DIIO-DM2,DM2 Enterprise Architecture and Design,DIIO,5,2071.0,False,False,
DIIO-DM3,DM3 IT Infrastructure Planning and Optimisation,DIIO,5,2071.0,False,False,
DIIO-DM4,DM4 IT Disaster Recovery and Business Continuity,DIIO,2,817.5,False,False,
DIIO-DM5,DM5 Advanced IT Security and Cybersecurity,DIIO,5,2071.0,False,False,
DIIO-DM6,DM6 IT Project Management,DIIO,2,817.5,False,False,
DIIO-DM7,DM7 IT Infrastructure Automation and Orchestration,DIIO,4,1744.0,False,False,
DIIO-DM8,DM8 Capstone Project: Audit or Design IT Infrastructure,DIIO,3,2180.0,True,False,
ASKMEB,Microsoft Excel - Basic,ASK,2,436.0,False,False,
ASKMEI,Microsoft Excel - Intermediate,ASK,2,436.0,False,False,
ASKMEA,Microsoft Excel - Advanced,ASK,2,436.0,False,False,
ASKFF8,Microsoft Excel: Advanced Formulas and Functions,ASK,2,654.0,False,False,
ASKTH8,Microsoft Excel: 99 Pro Hacks and Tips,ASK,1,392.4,False,False,
ASKEP8,Advanced Pivot Table Techniques in Microsoft Excel,ASK,1,392.4,False,False,
ASKBB8,Bridging Big Data Analytics using Excel & Power BI,ASK,2,1090.0,False,False,
ASKDR8,Data Analysis with Microsoft Excel DASHBOARD Reporting for Management,ASK,2,1090.0,False,False,
ASKPQ8,"Introduction to Microsoft Excel Power Query, Data Model, Power Pivot and DAX",ASK,2,1090.0,False,False,
ASKEDP,Excel Dynamic Power Query and Power Pivot Time Intelligence DAX,ASK,2,1090.0,False,True,
ASK7VB,Visual Basic for Applications in Microsoft Excel - Fundamental,ASK,3,872.0,False,False,
ASKMAB,Microsoft Access - Basic and Intermediate,ASK,2,545.0,False,False,
ASKMAA,Microsoft Access - Advanced,ASK,2,545.0,False,False,
ASKMOB,Microsoft Outlook - Basic and Intermediate,ASK,1,327.0,False,False,
ASKMOA,Microsoft Outlook - Intermediate and Advanced,ASK,1,327.0,False,False,
ASKGV7,Infographics Concept and Data Visualization Technique,ASK,1,392.4,False,False,
ASKCP8,Creative Microsoft PowerPoint Designs Masterclass,ASK,1,392.4,False,False,
ASKMPB,Microsoft PowerPoint - Basic and Intermediate,ASK,2,436.0,False,False,
ASKMPA,Microsoft PowerPoint - Advanced,ASK,1,272.5,False,False,
ASKMWB,Microsoft Word - Basic and Intermediate,ASK,2,436.0,False,False,
ASKMWA,Microsoft Word - Advanced,ASK,1,272.5,False,False,
ASKPSP,AI-Powered Storytelling for Presentation,ASK,2,1308.0,False,True,
ASKBCG,Beyond ChatGPT: The Ultimate GenAI Toolkit for Workplace Productivity,ASK,1,817.5,False,True,
ASKCL7,IT Clinics (PC/Laptop Maintenance),ASK,2,654.0,False,False,
ASKDFF,Drone Flying - Fundamentals,ASK,2,872.0,False,False,
ASKDPA,Drone Piloting - Advanced,ASK,2,872.0,False,False,
ASK3KS,Applying Three Kingdom Strategies in Your Organization,ASK,3,2398.0,False,False,
ASKSTA,Sun Tzu's Art of War for Modern Leaders,ASK,2,1635.0,False,True,
ASK3KL,Three Kingdoms' Leaderships in Today's Context,ASK,2,1635.0,False,False,
ASKAPP,Attitude - Your Most Priceless Possession for Senior Officers,ASK,2,1308.0,False,False,
ASKNLP,"Connect, Engage and Influence with NLP Interpersonal Communication Techniques",ASK,1,817.5,False,True,
ASKKYM,Enhancing Your Emotional Intelligence: The Key To Effective Leadership,ASK,2,1308.0,False,True,
ASKHWB,Happy Employees Work Better,ASK,2,1308.0,False,False,
ASKKMK,"Knowing Me, Knowing You – for Better Teamwork",ASK,1,708.5,False,True,
ASKMIE,"People Centered Leadership - Motivating, Inspiring and Engaging others",ASK,1,708.5,False,False,
ASK5BC,The Five Behaviours of a Cohesive Team,ASK,2,1308.0,False,False,
ASKCFH,Coaching For High Performance,ASK,1,872.0,False,True,
ASKCMC,Crisis Management and Communication,ASK,1,708.5,False,False,
ASKDDP,Dealing with Difficult People at Work,ASK,1,708.5,False,False,
ASKDCC,Dynamic Communication and Collaboration with LEGO® Serious Play®,ASK,1,817.5,False,True,
ASKEPC,Empathy: Harnessing The Power of Connection at Workplace,ASK,2,1308.0,False,False,
ASKKNR,Keys to Instant Rapport – Effective Communication for Better Working Relationships,ASK,1,708.5,False,False,
ASKLRE,Leadership Resilience,ASK,2,1635.0,False,True,
ASKGAR,Let's Get Your Anger Right! (Anger Management),ASK,1,708.5,False,False,
ASKPCL,Persuasive Communication for Leaders,ASK,1,708.5,False,False,
ASKSPN,Strategies for Persuasive Negotiation,ASK,1,708.5,False,False,
ASKMGC,Working Relationships with Multi-Generational People,ASK,1,708.5,False,False,
ASKBKS,"Be Kiasu, Be Creative and Effective in Problem Solving",ASK,1,708.5,False,False,
ASKCRC,Colored Brain: Gateway to Improving Communication Skills at the Workplace,ASK,1,708.5,False,False,
ASKCTH,Critical Thinking for Effective Problem Solving,ASK,1,817.5,False,True,
ASKCTL,Critical Thinking for Leaders,ASK,2,1308.0,False,True,
ASKIST,Introduction to Systems Thinking,ASK,1,708.5,False,False,
ASKSTL,System Thinking for Leaders with LEGO® Serious Play®,ASK,1,817.5,False,False,
ASKSDT,The 5-Steps of Design Thinking,ASK,1,708.5,False,False,
ASKBDD,Brainpower - Discovering and Developing Our Mental Skills,ASK,2,1308.0,False,False,
ASKEBS,Effective Brain Smart Skills for the Workplace,ASK,2,1308.0,False,False,
ASKPTM,Effective Presentation Skills - Share Impactful information with Limited Time,ASK,1,708.5,False,False,
ASKEYM,Enhance Your Memory,ASK,1,817.5,False,False,
ASKHSR,"High Impact Speed Reading - Read Fast, Learn Fast",ASK,1,817.5,False,False,
ASKSPC,Speaking and Presenting with Confidence,ASK,1,708.5,False,False,
ASKBPR,Building Personal Resilience and Wellbeing,ASK,1,708.5,False,False,
ASKCWC,Coping With Uncertainty and Change At Your Workplace,ASK,1,708.5,False,False,
ASKERT,Effective Relaxation Techniques,ASK,1,545.0,False,False,
ASKSAW,Managing Stress and Achieving Wellness,ASK,1,708.5,False,False,
ASKOYO,Outwit Your Obstacles,ASK,1,708.5,False,False,
ASKRWP,Resilience at Work: Turning Stressful Situations into Your Advantage,ASK,2,1308.0,False,False,
ASKCWF,Unleash Your Creativity in Work and Life,ASK,1,708.5,False,False,
ASKWUT,Wisdom in Using Time and Achieving Goals,ASK,1,708.5,False,False,
ASKWLB,Work-Life Balance,ASK,1,708.5,False,False,
ASKBHW,Bringing Humour into the Workplace,ASK,1,708.5,False,False,
ASKCHP,Cultivate Highly Productive Habits,ASK,1,708.5,False,False,
ASKEED,Eight Emotional Drivers for a Happier Life at Work,ASK,1,708.5,False,False,
ASKEEP,Even Eagles Need a Push,ASK,1,708.5,False,False,
ASKHHL,"Happier Career, Happier Life",ASK,1,708.5,False,False,
ASKHAW,H.E.A.R.T. @ Work,ASK,1,708.5,False,False,
ASK7UP,The 7-Ups to Personal Effectiveness,ASK,1,708.5,False,False,
ASKPTA,The Power of Taking Action,ASK,1,708.5,False,False,
ASKUSC,Unlock Your Self-Confidence,ASK,1,708.5,False,False,
ASKBDF,Birds of Different Feathers Can Flock Together,ASK,1,708.5,False,False,
ASKRTW,Business Report and Technical Writing Skills,ASK,2,926.5,False,False,
ASKEMS,Business Writing Essentials: From Emails to Meeting Summaries,ASK,2,926.5,False,False,
ASKMAS,Mastering the Art of Silent Communication,ASK,1,708.5,False,False,
ASK5LL,Winning Relationships with the 5 Love Languages @Workplace,ASK,1,708.5,False,False,
ASKWMW,Women Are Always Right and Men Are Never Wrong @Workplace,ASK,1,708.5,False,False,
ASQDVT,Data Visualisation and Storytelling with Tableau,,2,959.2,False,False,
ASQDVS,Data Visualisation and Storytelling with Power BI,,2,959.2,False,False,
ASKDBI,AI-Driven Business Intelligence: Smarter Reporting & Analytics,,3,1962.0,False,True,
ASKIHR,AI in HR: Transforming Talent Acquisition & Workforce Management,,3,1962.0,False,True,
ASKIPF,AI-Powered Finance: Automating Insights & Risk Management,,3,1744.0,False,True,
ASKBRT,Business Report and Technical Writing Skills (WSQ),,2,926.5,False,True,
ASKBWE,Business Writing Essentials: From Emails to Meeting Summaries (WSQ),,2,926.5,False,True,
ASKDFA,Design Fundamentals with Adobe Photoshop for Business and Branding,,2,763.0,False,True,
ASKCDM,Microsoft 365 & Copilot for Data Management,,3,1308.0,False,False,
ASQMEE,Microsoft Excel Essentials (WSQ),,2,490.5,False,False,
ASQMEI,Microsoft Excel Intermediate (WSQ),,2,490.5,False,False,
ASQMEM,Microsoft Excel Mastery (WSQ),,2,654.0,False,True,
ASKVEG,Video Editing,,2,1076.92,False,False,
ASNGAI,Generative AI for Digital Marketing,,2,1076.92,False,False,
ASNMEA,Microsoft Excel Advanced (SSG),,2,490.5,False,False,
ASNTTM,TikTok Marketing,,2,1076.92,False,False,
