code,name,programme_code,duration_days,fee_with_gst,is_capstone,recently_added,notes
FTDM-DME,Digital Marketing Essentials,FTDM,2,981.0,False,True,
FTDM-DA,Digital Advertising,FTDM,2,981.0,False,True,
FTDM-SMM,Social Media Marketing,FTDM,2,981.0,False,True,
FTDM-SEO,Search Engine Optimisation,FTDM,3,1493.3,False,True,
FTDM-DMA,Digital Marketing Analytics (Google Analytics),FTDM,3,1493.3,False,True,
FTDM-WWC,WordPress Website Creation,FTDM,3,1493.3,False,True,
FTDM-CCW,Copywriting & Contents Writing,FTDM,3,1493.3,False,True,
FTDM-DCC,Digital Content Creation,FTDM,3,1493.3,False,True,
FTDM-FB,Facebook & Instagram Marketing,FTDM,3,1493.3,False,True,
FTDM-GA,Google Ads,FTDM,3,1493.3,False,True,
FTDM-WCO,Website & Landing Page Conversion Optimisation,FTDM,3,1493.3,False,True,
FTDM-VM,Video Marketing,FTDM,2,981.0,False,True,
FTDM-GAI,Generative AI for Digital Marketing,FTDM,2,981.0,False,True,
FTDM-TTM,TikTok Marketing,FTDM,2,981.0,False,True,
FTIIO-IIT,Introduction to Information Technology (IT),FTIIO,1,327.0,False,True,
FTIIO-CHP,Understanding Computer Hardware & Peripherals,FTIIO,3,981.0,False,True,
FTIIO-OSS,Operating Systems and Desktop Support,FTIIO,3,981.0,False,True,
FTIIO-NFT,Network Fundamentals and Troubleshooting,FTIIO,3,981.0,False,True,
FTIIO-CE,Cybersecurity Essentials,FTIIO,3,981.0,False,True,
FTIIO-ITPS,IT Troubleshooting and Problem Solving,FTIIO,2,654.0,False,True,
FTIIO-SMHD,IT Service Management and Help Desk Operations (ITIL 4 Foundation),FTIIO,3,1417.0,False,True,
FTIIO-HST,Advanced Hardware and Software Troubleshooting,FTIIO,4,1308.0,False,True,
FTIIO-CC,Cloud Computing,FTIIO,5,1635.0,False,True,
FTIIO-ANA,Advanced Network Administration,FTIIO,6,1962.0,False,True,
FTIIO-SSA,Systems and Server Administration,FTIIO,6,1962.0,False,True,
FTIIO-CEH,Cybersecurity and Ethical Hacking,FTIIO,4,1308.0,False,True,
FTIIO-ETT,Emerging Technologies and Trends,FTIIO,2,763.0,False,True,
FTIIO-CAP,Capstone Project: Real-World IT Project,FTIIO,2.5,2561.5,True,True,
DGAI-SM,AI-Driven Sales & Marketing: Boosting Engagement & Conversions,DGAI,4,1820.3,False,True,
DGAI-HR,AI in HR: Transforming Talent Acquisition & Workforce Management,DGAI,3,1362.5,False,True,
DGAI-FIN,AI-Powered Finance: Automating Insights & Risk Management,DGAI,3,1362.5,False,True,
DGAI-INV,AI for Smart Inventory: Predictive Analytics & Optimization,DGAI,3,1362.5,False,True,
DGAI-OPS,AI in Operations: Enhancing Workflow Efficiency & Automation,DGAI,3,1362.5,False,True,
DGAI-BI,AI-Driven Business Intelligence: Smarter Reporting & Analytics,DGAI,3,1362.5,False,True,
DGAI-CAP,AI-Capstone Project: AI Solution for Enterprise,DGAI,2,2049.2,True,True,
