ft_course_code,historical_code,notes
FTDM-DME,ACDM-DME,planning profile of historical code applies
FTDM-DA,ACDM-DA,planning profile of historical code applies
FTDM-SMM,ACDM-SMM,planning profile of historical code applies
FTDM-SEO,ACDM-SEO,planning profile of historical code applies
FTDM-DMA,ACDM-DMA,planning profile of historical code applies
FTDM-WWC,DDM-WWC,planning profile of historical code applies
FTDM-CCW,DDM-CCW,planning profile of historical code applies
FTDM-DCC,DDM-DCC,planning profile of historical code applies
FTDM-FB,DDM-FIM,planning profile of historical code applies
FTDM-GA,DDM-GA,planning profile of historical code applies
FTDM-WCO,DDM-WLCO,planning profile of historical code applies
FTDM-GAI,ASKGAI,planning profile of historical code applies
FTDM-TTM,ASKTTM,planning profile of historical code applies
FTDM-VM,,no history — new course
FTIIO-IIT,IIOC-IIT,planning profile of historical code applies
FTIIO-CHP,IIOC-CHP,planning profile of historical code applies
FTIIO-OSS,IIOC-OSS,planning profile of historical code applies
FTIIO-NFT,IIOC-NFT,planning profile of historical code applies
FTIIO-CE,IIOC-CE,planning profile of historical code applies
FTIIO-ITPS,IIOC-ITPS,planning profile of historical code applies
FTIIO-SMHD,IIOC-SMHD,planning profile of historical code applies
FTIIO-HST,ACIIO-HST,planning profile of historical code applies
FTIIO-CC,ACIIO-CC,planning profile of historical code applies
FTIIO-ANA,ACIIO-ANA,planning profile of historical code applies
FTIIO-SSA,ACIIO-SSA,planning profile of historical code applies
FTIIO-CEH,ACIIO-CEH,planning profile of historical code applies
FTIIO-ETT,ACIIO-ETT,planning profile of historical code applies
FTIIO-CAP,ASKIIOCAP,planning profile of historical code applies
DGAI-HR,ASKIHR,planning profile of historical code applies
DGAI-FIN,ASKIPF,planning profile of historical code applies
DGAI-BI,ASKDBI,planning profile of historical code applies
DGAI-SM,,no history — new course
DGAI-INV,,no history — new course
DGAI-OPS,,no history — new course
DGAI-CAP,,no history — new course
